Tarih,Şimdi
31.12.2019,"66,00"
30.12.2019,"68,44"
27.12.2019,"68,16"
26.12.2019,"67,92"
24.12.2019,"67,20"
23.12.2019,"66,39"
20.12.2019,"66,14"
19.12.2019,"66,54"
18.12.2019,"66,17"
17.12.2019,"66,10"
16.12.2019,"65,34"
13.12.2019,"65,22"
12.12.2019,"64,20"
11.12.2019,"63,72"
10.12.2019,"64,34"
09.12.2019,"64,25"
06.12.2019,"64,39"
05.12.2019,"63,39"
04.12.2019,"63,00"
03.12.2019,"60,82"
02.12.2019,"60,92"
29.11.2019,"62,43"
28.11.2019,"63,87"
27.11.2019,"64,06"
26.11.2019,"64,27"
25.11.2019,"63,65"
22.11.2019,"63,39"
21.11.2019,"63,97"
20.11.2019,"62,40"
19.11.2019,"60,91"
18.11.2019,"62,44"
15.11.2019,"63,30"
14.11.2019,"62,28"
13.11.2019,"62,37"
12.11.2019,"62,06"
11.11.2019,"62,18"
08.11.2019,"62,51"
07.11.2019,"62,29"
06.11.2019,"61,74"
05.11.2019,"62,96"
04.11.2019,"62,13"
01.11.2019,"61,69"
31.10.2019,"60,23"
30.10.2019,"60,61"
29.10.2019,"61,59"
28.10.2019,"61,57"
25.10.2019,"62,02"
24.10.2019,"61,67"
23.10.2019,"61,17"
22.10.2019,"59,70"
21.10.2019,"58,96"
18.10.2019,"59,42"
17.10.2019,"59,91"
16.10.2019,"59,42"
15.10.2019,"58,74"
14.10.2019,"59,35"
11.10.2019,"60,51"
10.10.2019,"59,10"
09.10.2019,"58,32"
08.10.2019,"58,24"
07.10.2019,"58,35"
04.10.2019,"58,37"
03.10.2019,"57,71"
02.10.2019,"57,69"
01.10.2019,"58,89"
30.09.2019,"60,78"
27.09.2019,"61,91"
26.09.2019,"62,74"
25.09.2019,"62,39"
24.09.2019,"63,10"
23.09.2019,"64,77"
20.09.2019,"64,28"
19.09.2019,"64,40"
18.09.2019,"63,60"
17.09.2019,"64,55"
16.09.2019,"69,02"
13.09.2019,"60,22"
12.09.2019,"60,38"
11.09.2019,"60,81"
10.09.2019,"62,38"
09.09.2019,"62,59"
06.09.2019,"61,54"
05.09.2019,"60,95"
04.09.2019,"60,70"
03.09.2019,"58,26"
02.09.2019,"58,66"
30.08.2019,"60,43"
29.08.2019,"61,08"
28.08.2019,"60,49"
27.08.2019,"59,51"
26.08.2019,"58,70"
23.08.2019,"59,34"
22.08.2019,"59,92"
21.08.2019,"60,30"
20.08.2019,"60,03"
19.08.2019,"59,74"
16.08.2019,"58,64"
15.08.2019,"58,23"
14.08.2019,"59,48"
13.08.2019,"61,30"
12.08.2019,"58,57"
09.08.2019,"58,53"
08.08.2019,"57,38"
07.08.2019,"56,23"
06.08.2019,"58,94"
05.08.2019,"59,81"
02.08.2019,"61,89"
01.08.2019,"60,50"
31.07.2019,"65,17"
30.07.2019,"64,72"
29.07.2019,"63,71"
26.07.2019,"63,46"
25.07.2019,"63,39"
24.07.2019,"63,18"
23.07.2019,"63,83"
22.07.2019,"63,26"
19.07.2019,"62,47"
18.07.2019,"61,93"
17.07.2019,"63,66"
16.07.2019,"64,35"
15.07.2019,"66,48"
12.07.2019,"66,72"
11.07.2019,"66,52"
10.07.2019,"67,01"
09.07.2019,"64,16"
08.07.2019,"64,11"
05.07.2019,"64,23"
04.07.2019,"63,30"
03.07.2019,"63,82"
02.07.2019,"62,40"
01.07.2019,"65,06"
28.06.2019,"66,55"
27.06.2019,"66,55"
26.06.2019,"66,49"
25.06.2019,"65,05"
24.06.2019,"64,86"
21.06.2019,"65,20"
20.06.2019,"64,45"
19.06.2019,"61,82"
18.06.2019,"62,14"
17.06.2019,"60,94"
14.06.2019,"62,01"
13.06.2019,"61,31"
12.06.2019,"59,97"
11.06.2019,"62,29"
10.06.2019,"62,29"
07.06.2019,"63,29"
06.06.2019,"61,67"
05.06.2019,"60,63"
04.06.2019,"61,97"
03.06.2019,"61,28"
31.05.2019,"64,49"
30.05.2019,"66,87"
29.05.2019,"69,45"
28.05.2019,"70,11"
27.05.2019,"70,11"
24.05.2019,"68,69"
23.05.2019,"67,76"
22.05.2019,"70,99"
21.05.2019,"72,18"
20.05.2019,"71,97"
17.05.2019,"72,21"
16.05.2019,"72,62"
15.05.2019,"71,77"
14.05.2019,"71,24"
13.05.2019,"70,23"
10.05.2019,"70,62"
09.05.2019,"70,39"
08.05.2019,"70,37"
07.05.2019,"69,88"
06.05.2019,"71,24"
03.05.2019,"70,85"
02.05.2019,"70,75"
01.05.2019,"72,18"
30.04.2019,"72,80"
29.04.2019,"72,04"
26.04.2019,"72,15"
25.04.2019,"74,35"
24.04.2019,"74,57"
23.04.2019,"74,51"
22.04.2019,"74,04"
18.04.2019,"71,97"
17.04.2019,"71,62"
16.04.2019,"71,72"
15.04.2019,"71,18"
12.04.2019,"71,55"
11.04.2019,"70,83"
10.04.2019,"71,73"
09.04.2019,"70,61"
08.04.2019,"71,10"
05.04.2019,"70,34"
04.04.2019,"69,40"
03.04.2019,"69,31"
02.04.2019,"69,37"
01.04.2019,"69,01"
29.03.2019,"68,39"
28.03.2019,"67,82"
27.03.2019,"67,83"
26.03.2019,"67,97"
25.03.2019,"67,21"
22.03.2019,"67,03"
21.03.2019,"67,86"
20.03.2019,"68,50"
19.03.2019,"67,61"
18.03.2019,"67,54"
15.03.2019,"67,16"
14.03.2019,"67,23"
13.03.2019,"67,55"
12.03.2019,"66,67"
11.03.2019,"66,58"
08.03.2019,"65,74"
07.03.2019,"66,30"
06.03.2019,"65,99"
05.03.2019,"65,86"
04.03.2019,"65,67"
01.03.2019,"65,07"
28.02.2019,"66,03"
27.02.2019,"66,39"
26.02.2019,"65,21"
25.02.2019,"64,76"
22.02.2019,"67,12"
21.02.2019,"67,07"
20.02.2019,"67,08"
19.02.2019,"66,45"
18.02.2019,"66,50"
15.02.2019,"66,25"
14.02.2019,"64,57"
13.02.2019,"63,61"
12.02.2019,"62,42"
11.02.2019,"61,51"
08.02.2019,"62,10"
07.02.2019,"61,63"
06.02.2019,"62,69"
05.02.2019,"61,98"
04.02.2019,"62,51"
01.02.2019,"62,75"
31.01.2019,"61,89"
30.01.2019,"61,65"
29.01.2019,"61,32"
28.01.2019,"59,93"
25.01.2019,"61,64"
24.01.2019,"61,09"
23.01.2019,"61,14"
22.01.2019,"61,50"
21.01.2019,"62,74"
18.01.2019,"62,70"
17.01.2019,"61,18"
16.01.2019,"61,32"
15.01.2019,"60,64"
14.01.2019,"58,99"
11.01.2019,"60,48"
10.01.2019,"61,68"
09.01.2019,"61,44"
08.01.2019,"58,72"
07.01.2019,"57,33"
04.01.2019,"57,06"
03.01.2019,"55,95"
02.01.2019,"54,91"
31.12.2018,"53,80"
28.12.2018,"52,20"
27.12.2018,"52,16"
26.12.2018,"54,47"
24.12.2018,"50,47"
21.12.2018,"53,82"
20.12.2018,"54,35"
19.12.2018,"57,24"
18.12.2018,"56,26"
17.12.2018,"59,61"
14.12.2018,"60,28"
13.12.2018,"61,45"
12.12.2018,"60,15"
11.12.2018,"60,20"
10.12.2018,"59,97"
07.12.2018,"61,67"
06.12.2018,"60,06"
05.12.2018,"61,56"
04.12.2018,"62,08"
03.12.2018,"61,69"
30.11.2018,"58,71"
29.11.2018,"59,51"
28.11.2018,"58,76"
27.11.2018,"60,21"
26.11.2018,"60,48"
23.11.2018,"58,80"
22.11.2018,"62,60"
21.11.2018,"63,48"
20.11.2018,"62,53"
19.11.2018,"66,79"
16.11.2018,"66,76"
15.11.2018,"66,62"
14.11.2018,"66,12"
13.11.2018,"65,47"
12.11.2018,"70,12"
09.11.2018,"70,18"
08.11.2018,"70,65"
07.11.2018,"72,07"
06.11.2018,"72,13"
05.11.2018,"73,17"
02.11.2018,"72,83"
01.11.2018,"72,89"
31.10.2018,"75,47"
30.10.2018,"75,91"
29.10.2018,"77,34"
26.10.2018,"77,62"
25.10.2018,"76,89"
24.10.2018,"76,17"
23.10.2018,"76,44"
22.10.2018,"79,83"
19.10.2018,"79,78"
18.10.2018,"79,29"
17.10.2018,"80,05"
16.10.2018,"81,41"
15.10.2018,"80,78"
12.10.2018,"80,43"
11.10.2018,"80,26"
10.10.2018,"83,09"
09.10.2018,"85,00"
08.10.2018,"83,91"
05.10.2018,"84,16"
04.10.2018,"84,58"
03.10.2018,"86,29"
02.10.2018,"84,80"
01.10.2018,"84,98"
28.09.2018,"82,72"
27.09.2018,"81,72"
26.09.2018,"81,34"
25.09.2018,"81,87"
24.09.2018,"81,20"
21.09.2018,"78,80"
20.09.2018,"78,70"
19.09.2018,"79,40"
18.09.2018,"79,03"
17.09.2018,"78,05"
14.09.2018,"78,09"
13.09.2018,"78,18"
12.09.2018,"79,74"
11.09.2018,"79,06"
10.09.2018,"77,37"
07.09.2018,"76,83"
06.09.2018,"76,50"
05.09.2018,"77,27"
04.09.2018,"78,17"
03.09.2018,"78,15"
31.08.2018,"77,42"
30.08.2018,"77,77"
29.08.2018,"77,14"
28.08.2018,"75,95"
27.08.2018,"76,21"
24.08.2018,"75,82"
23.08.2018,"74,73"
22.08.2018,"74,78"
21.08.2018,"72,63"
20.08.2018,"72,21"
17.08.2018,"71,83"
16.08.2018,"71,43"
15.08.2018,"70,76"
14.08.2018,"72,46"
13.08.2018,"72,61"
10.08.2018,"72,81"
09.08.2018,"72,07"
08.08.2018,"72,28"
07.08.2018,"74,65"
06.08.2018,"73,75"
03.08.2018,"73,21"
02.08.2018,"73,45"
01.08.2018,"72,39"
31.07.2018,"74,25"
30.07.2018,"74,97"
27.07.2018,"74,29"
26.07.2018,"74,54"
25.07.2018,"73,93"
24.07.2018,"73,44"
23.07.2018,"73,06"
20.07.2018,"73,07"
19.07.2018,"72,58"
18.07.2018,"72,90"
17.07.2018,"72,16"
16.07.2018,"71,84"
13.07.2018,"75,33"
12.07.2018,"74,45"
11.07.2018,"73,40"
10.07.2018,"78,86"
09.07.2018,"78,07"
06.07.2018,"77,11"
05.07.2018,"77,39"
04.07.2018,"78,24"
03.07.2018,"77,76"
02.07.2018,"77,30"
29.06.2018,"79,44"
28.06.2018,"77,85"
27.06.2018,"77,62"
26.06.2018,"76,31"
25.06.2018,"74,73"
22.06.2018,"75,55"
21.06.2018,"73,05"
20.06.2018,"74,74"
19.06.2018,"75,08"
18.06.2018,"75,34"
15.06.2018,"73,44"
14.06.2018,"75,94"
13.06.2018,"76,74"
12.06.2018,"75,88"
11.06.2018,"76,46"
08.06.2018,"76,46"
07.06.2018,"77,32"
06.06.2018,"75,36"
05.06.2018,"75,38"
04.06.2018,"75,29"
01.06.2018,"76,79"
31.05.2018,"77,59"
30.05.2018,"77,50"
29.05.2018,"75,39"
28.05.2018,"75,30"
