il,year,GINI_Index
Adana,2014,0.375
Adıyaman,2014,0.323
Afyonkarahisar,2014,0.376
Ağrı,2014,0.362
Aksaray,2014,0.337
Amasya,2014,0.339
Ankara,2014,0.382
Antalya,2014,0.392
Ardahan,2014,0.362
Artvin,2014,0.333
Aydın,2014,0.355
Balıkesir,2014,0.384
Bartın,2014,0.325
Batman,2014,0.348
Bayburt,2014,0.415
Bilecik,2014,0.361
Bingöl,2014,0.356
Bitlis,2014,0.378
Bolu,2014,0.338
Burdur,2014,0.392
Bursa,2014,0.361
Çanakkale,2014,0.384
Çankırı,2014,0.364
Çorum,2014,0.339
Denizli,2014,0.355
Diyarbakır,2014,0.402
Düzce,2014,0.338
Edirne,2014,0.344
Elazığ,2014,0.356
Erzincan,2014,0.415
Erzurum,2014,0.415
Eskişehir,2014,0.361
Gaziantep,2014,0.323
Giresun,2014,0.333
Gümüşhane,2014,0.333
Hakkari,2014,0.378
Hatay,2014,0.390
Iğdır,2014,0.362
Isparta,2014,0.392
İstanbul,2014,0.357
İzmir,2014,0.376
K.Maraş,2014,0.390
Karabük,2014,0.325
Karaman,2014,0.396
Kars,2014,0.362
Kastamonu,2014,0.348
Kayseri,2014,0.379
Kırıkkale,2014,0.337
Kırklareli,2014,0.344
Kırşehir,2014,0.337
Kilis,2014,0.323
Kocaeli,2014,0.338
Konya,2014,0.396
Kütahya,2014,0.376
Malatya,2014,0.356
Manisa,2014,0.376
Mardin,2014,0.348
Mersin,2014,0.375
Muğla,2014,0.355
Muş,2014,0.378
Nevşehir,2014,0.337
Niğde,2014,0.337
Ordu,2014,0.333
Osmaniye,2014,0.390
Rize,2014,0.333
Sakarya,2014,0.338
Samsun,2014,0.386
Siirt,2014,0.351
Sinop,2014,0.364
Sivas,2014,0.373
Ş.Urfa,2014,0.362
Şırnak,2014,0.351
Tekirdağ,2014,0.374
Tokat,2014,0.386
Trabzon,2014,0.354
Tunceli,2014,0.297
Uşak,2014,0.37
Van,2014,0.337
Yalova,2014,0.333
Yozgat,2014,0.373
Zonguldak,2014,0.328
Adana,2015,0.391
Adıyaman,2015,0.323
Afyonkarahisar,2015,0.381
Ağrı,2015,0.380
Aksaray,2015,0.324
Amasya,2015,0.364
Ankara,2015,0.373
Antalya,2015,0.385
Ardahan,2015,0.380
Artvin,2015,0.336
Aydın,2015,0.352
Balıkesir,2015,0.398
Bartın,2015,0.340
Batman,2015,0.410
Bayburt,2015,0.376
Bilecik,2015,0.363
Bingöl,2015,0.356
Bitlis,2015,0.352
Bolu,2015,0.340
Burdur,2015,0.385
Bursa,2015,0.363
Çanakkale,2015,0.398
Çankırı,2015,0.353
Çorum,2015,0.364
Denizli,2015,0.352
Diyarbakır,2015,0.410
Düzce,2015,0.340
Edirne,2015,0.348
Elazığ,2015,0.356
Erzincan,2015,0.376
Erzurum,2015,0.376
Eskişehir,2015,0.363
Gaziantep,2015,0.323
Giresun,2015,0.336
Gümüşhane,2015,0.336
Hakkari,2015,0.352
Hatay,2015,0.382
Iğdır,2015,0.380
Isparta,2015,0.385
İstanbul,2015,0.378
İzmir,2015,0.380
K.Maraş,2015,0.382
Karabük,2015,0.340
Karaman,2015,0.395
Kars,2015,0.380
Kastamonu,2015,0.353
Kayseri,2015,0.382
Kırıkkale,2015,0.324
Kırklareli,2015,0.348
Kırşehir,2015,0.324
Kilis,2015,0.323
Kocaeli,2015,0.340
Konya,2015,0.395
