iller,year,otomobil,minibus,otobus,kamyonet,kamyon,bölge
Adana,2014, 266 880, 9 572, 4 752, 85 915, 18 896,Akdeniz Bölgesi
Adıyaman,2014, 40 132, 4 309,360, 11 871, 3 326,Güneydoğu Anadolu Bölgesi
Afyonkarahisar,2014, 72 453, 4 297, 1 621, 26 261, 8 666,Ege Bölgesi
Ağrı,2014, 9 898, 2 568,305, 7 219, 2 336,Doğu Anadolu Bölgesi
Amasya,2014, 46 318, 2 813,664, 13 412, 3 130,Karadeniz Bölgesi
Ankara,2014,1 147 113, 22 861, 16 702, 228 846, 69 821,İç Anadolu Bölgesi
Antalya,2014, 393 766, 12 415, 10 067, 147 799, 20 511,Akdeniz Bölgesi
Artvin,2014, 12 164, 2 028,271, 10 686, 3 043,Karadeniz Bölgesi
Aydın,2014, 145 131, 9 219, 2 858, 52 476, 7 681,Ege Bölgesi
Balıkesir,2014, 165 028, 5 278, 3 774, 54 645, 11 026,Marmara Bölgesi
Bilecik,2014, 25 558,898,815, 9 377, 2 939,Marmara Bölgesi
Bingöl,2014, 5 932, 1 148,232, 4 048,987,Doğu Anadolu Bölgesi
Bitlis,2014, 7 223, 1 391,136, 5 322, 1 743,Doğu Anadolu Bölgesi
Bolu,2014, 45 338, 1 360, 1 040, 13 377, 5 374,Karadeniz Bölgesi
Burdur,2014, 46 382, 1 160,853, 12 128, 5 331,Akdeniz Bölgesi
Bursa,2014, 364 903, 11 212, 9 238, 134 143, 24 335,Marmara Bölgesi
Çanakkale,2014, 69 423, 2 125, 1 892, 25 609, 5 037,Marmara Bölgesi
Çankırı,2014, 18 148,732,434, 6 314, 1 718,İç Anadolu Bölgesi
Çorum,2014, 69 493, 2 663, 1 130, 17 639, 5 223,Karadeniz Bölgesi
Denizli,2014, 155 758, 6 518, 3 748, 50 084, 10 497,Ege Bölgesi
Diyarbakır,2014, 50 018, 6 347, 1 258, 22 271, 7 032,Güneydoğu Anadolu Bölgesi
Edirne,2014, 54 637, 1 650, 1 830, 17 095, 3 999,Marmara Bölgesi
Elazığ,2014, 54 277, 3 543,678, 19 300, 4 549,Doğu Anadolu Bölgesi
Erzincan,2014, 22 804, 1 615,453, 8 581, 1 693,Doğu Anadolu Bölgesi
Erzurum,2014, 50 799, 3 063,940, 22 972, 5 578,Doğu Anadolu Bölgesi
Eskişehir,2014, 133 485, 3 235, 2 576, 36 510, 9 564,İç Anadolu Bölgesi
Gaziantep,2014, 184 988, 11 919, 3 999, 69 469, 17 219,Güneydoğu Anadolu Bölgesi
Giresun,2014, 32 328, 7 225,366, 21 696, 3 999,Karadeniz Bölgesi
Gümüşhane,2014, 7 973, 1 139,185, 4 375, 1 320,Karadeniz Bölgesi
Hakkari,2014, 2 093, 1 280,67, 2 895, 1 610,Doğu Anadolu Bölgesi
Hatay,2014, 164 237, 11 433, 3 233, 51 571, 18 777,Akdeniz Bölgesi
Isparta,2014, 66 823, 2 175, 1 361, 20 016, 4 282,Akdeniz Bölgesi
Mersin,2014, 212 044, 7 188, 5 325, 84 095, 29 063,Akdeniz Bölgesi
İstanbul,2014,2 274 368, 73 482, 46 203, 593 533, 127 395,Marmara Bölgesi
İzmir,2014, 612 020, 13 602, 15 301, 190 684, 36 538,Ege Bölgesi
Kars,2014, 10 433, 1 696,371, 6 703, 1 846,Doğu Anadolu Bölgesi
Kastamonu,2014, 52 566, 2 736, 1 083, 13 619, 4 899,Karadeniz Bölgesi
Kayseri,2014, 192 254, 5 558, 4 118, 50 863, 15 524,İç Anadolu Bölgesi
Kırklareli,2014, 46 749, 1 557, 1 544, 13 634, 3 781,Marmara Bölgesi
Kırşehir,2014, 31 914, 1 140,558, 6 623, 1 990,İç Anadolu Bölgesi
Kocaeli,2014, 177 844, 7 259, 7 155, 60 501, 20 647,Marmara Bölgesi
Konya,2014, 289 030, 9 614, 5 344, 94 410, 32 770,İç Anadolu Bölgesi
Kütahya,2014, 90 352, 3 806, 1 897, 22 334, 6 726,Ege Bölgesi
Malatya,2014, 69 677, 4 216, 1 363, 26 289, 4 559,Doğu Anadolu Bölgesi
Manisa,2014, 177 038, 6 588, 6 350, 57 213, 13 924,Ege Bölgesi
K.Maraş,2014, 100 982, 6 906, 1 742, 31 188, 6 665,Akdeniz Bölgesi
Mardin,2014, 20 713, 3 908,470, 16 570, 11 432,Güneydoğu Anadolu Bölgesi
Muğla,2014, 164 132, 10 275, 3 205, 57 336, 8 219,Ege Bölgesi
Muş,2014, 8 033, 1 331,206, 6 435, 1 768,Doğu Anadolu Bölgesi
Nevşehir,2014, 41 674, 3 100,762, 14 895, 5 892,İç Anadolu Bölgesi
Niğde,2014, 34 749, 1 671,931, 13 482, 5 346,İç Anadolu Bölgesi
Ordu,2014, 56 815, 10 456,647, 28 024, 5 201,Karadeniz Bölgesi
Rize,2014, 26 063, 3 287,654, 25 047, 5 131,Karadeniz Bölgesi
Sakarya,2014, 112 505, 4 816, 3 252, 36 828, 9 757,Marmara Bölgesi
Samsun,2014, 129 896, 12 257, 1 387, 53 233, 9 026,Karadeniz Bölgesi
